name,distance,distance_mi,moving_time,elapsed_time,total_elevation_gain,elevation_gain_ft,type,start_date,trainer,manual,gear_id,average_speed,avg_speed_mph,max_speed,max_speed_mph,average_cadence,average_watts,average_heartrate,max_heartrate,max_watts,average_temp
"Palo Alto: walk ""home"" to food truck day!",3511.9,2.18219349,2233,2233,8.2,26.902888,Walk,2017-06-20T01:10:57Z,FALSE,FALSE,g1514293,1.573,3.51870662,4.2,9.395148,,,,,,
Palo Alto - walk work,3180.4,1.97620894,1992,1992,16.5,54.13386,Walk,2017-06-19T14:39:52Z,FALSE,FALSE,g1514293,1.597,3.57239318,2.6,5.816044,,,,,,
FFC: weights with Jill! #sundayroutine,0,0,2400,2400,0,0,WeightTraining,2017-06-18T13:44:56Z,FALSE,TRUE,,0,0,0,0,,,,,,
Peloton: AT Work,32186.9,20.00001243,3900,3900,0,0,Ride,2017-06-17T23:45:16Z,FALSE,TRUE,b2468160,8.253,18.46146582,0,0,,,,,,
GRB: chillaxin KH with Vibol,43292.9,26.90096089,6913,6913,44,144.35696,Ride,2017-06-17T11:54:49Z,FALSE,FALSE,b1477130,6.263,14.00995522,10,22.3694,77.8,121.4,110.4,128,454,18
MH: fat burner,27358.9,17.00003231,3600,3600,0,0,Ride,2017-06-15T23:03:08Z,FALSE,TRUE,b521467,7.6,17.000744,0,0,,,,,,
NYC: walk about,6437.4,4.000014913,3600,3600,0,0,Walk,2017-06-15T00:43:17Z,FALSE,TRUE,g1514293,1.788,3.99964872,0,0,,,,,,
Midtown Hilton: weights!,0,0,1720,1720,0,0,WeightTraining,2017-06-14T01:52:06Z,FALSE,TRUE,,0,0,0,0,,,,,,
Midtown Hilton: easy-ish warm up,11265.4,6.999995029,1800,1800,0,0,Ride,2017-06-14T01:12:16Z,FALSE,TRUE,b521467,6.259,14.00100746,0,0,,,,,,
GRB: Tour de Cure 100,162410,100.9168953,23353,28458,864,2834.64576,Ride,2017-06-11T11:36:56Z,FALSE,FALSE,b1477130,6.955,15.5579177,15.4,34.448876,75.9,146.2,136.5,174,947,26
Peloton: burnt. Good to feel this way two days before a century.,28968.2,18.00000497,3900,3900,0,0,Ride,2017-06-09T20:06:20Z,FALSE,TRUE,b2468160,7.428,16.61599032,0,0,,,,,,
Peloton: backwards ,22691.8,14.10003082,3000,3000,0,0,Ride,2017-06-09T00:21:04Z,FALSE,TRUE,b2468160,7.564,16.92021416,0,0,,,,,,
GRB: Farewell Wabash Trail,30991.9,19.25747385,4585,4691,163,534.77692,Ride,2017-06-07T10:43:42Z,FALSE,FALSE,b1477130,6.759,15.11947746,9.8,21.922012,83.6,145,120.3,144,538,7
LAFS: final spin class in Spfld,20921.5,13.0000174,2700,2700,0,0,Ride,2017-06-05T22:30:00Z,FALSE,TRUE,b534975,7.749,17.33404806,0,0,,,,,,
RDB: Missing miles from RfW - forgot to start GPS.,11104.5,6.900016404,1080,1080,0,0,Ride,2017-06-04T18:22:46Z,FALSE,TRUE,b1395475,10.282,23.00021708,0,0,,,,,,
RDB: RfW RR DNF,43730.6,27.17293506,4878,4878,294,964.56696,Ride,2017-06-04T15:29:03Z,FALSE,FALSE,b1395475,8.965,20.0541671,15,33.5541,,196.9,157.9,178,,22
RDB: RfW RR warm up.,5188.8,3.224170842,871,977,27,88.58268,Ride,2017-06-04T14:37:21Z,FALSE,FALSE,b1395475,5.957,13.32545158,9.9,22.145706,,98.7,118.7,133,,21
RDB: RfW TT cool down ,2120.2,1.317431202,399,399,22,72.17848,Ride,2017-06-04T14:07:51Z,FALSE,FALSE,b1395475,5.314,11.88709916,9.6,21.474624,,103.8,116.1,139,,19
TTB: RfW Omnium TT - not what I thought I was doing.,7557.3,4.695888511,776,776,32,104.98688,Ride,2017-06-04T13:25:21Z,FALSE,FALSE,b250312,9.739,21.78555866,13.6,30.422384,,217.6,163.4,171,,17
TTB: RfW warm up.,9248.2,5.74656506,1253,1449,61,200.13124,Ride,2017-06-04T12:50:30Z,FALSE,FALSE,b250312,7.381,16.51085414,12.9,28.856526,,137.9,135.3,165,,16
TTB: quick spin to test new cable.,8404.4,5.222252048,969,969,45,147.6378,Ride,2017-06-04T00:34:24Z,FALSE,FALSE,b250312,8.673,19.40098062,13,29.08022,,182.6,,,,16
Peloton: easy spinning,19312.2,12.00004474,2700,2700,0,0,Ride,2017-06-02T10:46:44Z,FALSE,TRUE,b2468160,7.153,16.00083182,0,0,,,,,,
GRB: Wheel Fast Ride - last one.,46213,28.71542691,5682,7168,172,564.30448,Ride,2017-05-31T22:32:05Z,FALSE,FALSE,b1477130,8.133,18.19303302,12.7,28.409138,83.1,193.9,143.2,174,807,21
GRB: awesome wind ride with Bill.,43693.5,27.14988219,5970,6293,240,787.4016,Ride,2017-05-30T22:53:39Z,FALSE,FALSE,b1477130,7.319,16.37216386,11.6,25.948504,77.8,167.3,125.3,161,740,20
Peloton: recovery Tuesday-like-Monday,27358.9,17.00003231,3600,3600,0,0,Ride,2017-05-30T09:14:12Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
GRB: that one hurt.,47985.9,29.81705589,6042,6139,329,1079.39636,Ride,2017-05-29T14:19:56Z,FALSE,FALSE,b1477130,7.942,17.76577748,13,29.08022,76.9,204.8,157,171,756,19
MTB: feels good the MTB again.,52451.6,32.59191323,8665,8917,309,1013.77956,Ride,2017-05-28T16:35:27Z,FALSE,FALSE,b575984,6.053,13.54019782,12.4,27.738056,,195.9,137.3,167,,19
"Peloton: 45:00 at speed, 15:00 recovery",27358.8,16.99997017,3600,3600,0,0,Ride,2017-05-26T11:20:00Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
GRB: Spin about Springfield,25749.5,15.99999751,3428,3428,59.1,193.897644,Ride,2017-05-25T11:00:00Z,FALSE,TRUE,b1477130,7.512,16.80389328,0,0,,,,,,
GRB: Wheelfast ride ,51790.4,32.18106259,6223,7094,144,472.44096,Ride,2017-05-24T22:27:43Z,FALSE,FALSE,b1477130,8.322,18.61581468,12.7,28.409138,,241.5,131.1,150,,10
LAFS: long spin,40233.7,25.00006214,5400,5400,0,0,Ride,2017-05-22T22:39:18Z,FALSE,TRUE,b534975,7.451,16.66743994,0,0,,,,,,
"RDB: ""leisurely"" Sunday ride w/Gary and Don.",76633.3,47.61772499,9227,10259,348,1141.73232,Ride,2017-05-21T17:53:01Z,FALSE,FALSE,b1395475,8.305,18.5777867,16.4,36.685816,,155.9,137.5,141,,17
Peloton: recovery spin,27358.9,17.00003231,3600,3600,0,0,Ride,2017-05-20T14:14:58Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
Peloton: solid hill intervals,27358.9,17.00003231,3600,3600,0,0,Ride,2017-05-19T16:21:49Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
GRB: do not like urban rides.,58507.2,36.35468862,7653,9388,268,879.26512,Ride,2017-05-18T21:11:11Z,FALSE,FALSE,b1477130,7.645,17.1014063,18.4,41.159696,,219.5,,,,21
GRB: all in on Chatham segment w11MPH headwind,28475.9,17.69410393,3275,3275,67,219.81628,Ride,2017-05-17T10:35:25Z,FALSE,FALSE,b1477130,8.695,19.4501933,11.4,25.501116,83.7,208.3,,,609,15
LAFS: spin,33796.3,21.00004722,4620,4620,0,0,Ride,2017-05-15T22:32:58Z,FALSE,TRUE,b534975,7.315,16.3632161,0,0,,,,,,
GRB: little spin about,18623.3,11.57198212,2473,2473,79,259.18636,Ride,2017-05-14T13:52:44Z,FALSE,FALSE,b1477130,7.531,16.84639514,10.6,23.711564,86,178.9,,,529,13
GRB: Trailblazer Ride++,161686,100.4670226,21312,24489,1063,3487.53292,Ride,2017-05-13T10:28:36Z,FALSE,FALSE,b1477130,7.587,16.97166378,12.5,27.96175,80.2,186.9,140.2,157,641,8
"FFC: weights, that's what's up.",0,0,1840,1840,0,0,WeightTraining,2017-05-12T17:08:26Z,FALSE,TRUE,,0,0,0,0,,,,,,
GRB: mixin road and gravel,69285.7,43.05213801,9237,9594,181,593.83204,Ride,2017-05-12T13:02:20Z,FALSE,FALSE,b1477130,7.501,16.77928694,11.2,25.053728,81.7,198.6,,,905,10
Peloton: am Peloton,27358.9,17.00003231,3600,3600,0,0,Ride,2017-05-11T09:57:37Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
"FTB: new ""trail"" - part of which may be questionable to ride.",39592.3,24.60151465,5987,7091,87,285.43308,Ride,2017-05-09T21:34:25Z,FALSE,FALSE,b2653090,6.613,14.79288422,10.4,23.264176,,215.5,147.8,167,,24
FTB: gravel on 4!,36254.2,22.52731548,5214,5237,60,196.8504,Ride,2017-05-08T23:22:32Z,FALSE,FALSE,b2653090,6.953,15.55344382,9.6,21.474624,,220.6,146.8,158,,19
Peloton: some 5 x 5,20921.5,13.0000174,2700,2700,0,0,Ride,2017-05-07T21:07:55Z,FALSE,TRUE,b2468160,7.749,17.33404806,0,0,,,,,,
GRB: I like wind...LIKE!,28410.5,17.65346626,3825,3860,13,42.65092,Ride,2017-05-06T20:14:27Z,FALSE,FALSE,b1477130,7.428,16.61599032,11.8,26.395892,,194.7,,,,
Peloton: 202W 102RPM,27358.9,17.00003231,3600,3600,0,0,Ride,2017-05-06T15:26:00Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
Family Fitness Center: weights baby.,0,0,2354,2354,0,0,WeightTraining,2017-05-05T18:09:18Z,FALSE,TRUE,,0,0,0,0,,,,,,
Peloton: 721 KJ for 45:00 ride.,28968.2,18.00000497,3600,3600,0,0,Ride,2017-05-05T10:09:25Z,FALSE,TRUE,b2468160,8.047,18.00065618,0,0,,,,,,
Peloton: morning spin,22530.9,14.0000522,3000,3000,0,0,Ride,2017-05-04T16:22:59Z,FALSE,TRUE,b2468160,7.51,16.7994194,0,0,,,,,,
LAFS: hard easy spin,33796.3,21.00004722,4500,4500,0,0,Ride,2017-05-02T23:04:04Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
LAFS: getting swolled,0,0,2702,2702,0,0,WeightTraining,2017-05-02T11:32:11Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFS: warm up,500,0.310685596,175,175,0,0,Rowing,2017-05-02T10:02:11Z,FALSE,TRUE,,2.857,6.39093758,0,0,,,,,,
Peloton: ugh,33796.3,21.00004722,4500,4500,0,0,Ride,2017-04-30T14:04:12Z,FALSE,TRUE,b2468160,7.51,16.7994194,0,0,,,,,,
RDB: W Ride wKBC,65396.5,40.63550117,9148,12837,162,531.49608,Ride,2017-04-29T11:43:10Z,FALSE,FALSE,b1395475,7.149,15.99188406,10,22.3694,,101.5,,,,4
FTB: from Coldwater,70744.9,43.95884286,9263,9548,211,692.25724,Ride,2017-04-28T19:24:19Z,FALSE,FALSE,b2653090,7.637,17.08351078,11,24.60634,,262.1,,,,13
LAFS: b2b2b2b,32186.9,20.00001243,4500,4500,0,0,Ride,2017-04-26T22:20:27Z,FALSE,TRUE,b534975,7.153,16.00083182,0,0,,,,,,
GRB: b-2-b-2-b,32339.9,20.09508222,4359,4398,72,236.22048,Ride,2017-04-26T10:16:52Z,FALSE,FALSE,b1477130,7.419,16.59585786,13.6,30.422384,85.3,172.4,137.9,163,781,14
GRB: quick spin w/18 MPH wind,27799.6,17.2738706,3206,3281,81,265.74804,Ride,2017-04-26T00:06:52Z,FALSE,FALSE,b1477130,8.671,19.39650674,12.8,28.632832,89.5,210.5,151.6,172,645,14
GRB: early ride - failed to upload.,27841.7,17.30003032,3480,3480,0,0,Ride,2017-04-25T11:12:36Z,FALSE,TRUE,b1477130,8,17.89552,0,0,,,,,,
"LAFS: recovered until she said, ""8:00 tabata!""",27358.9,17.00003231,3600,3600,0,0,Ride,2017-04-24T23:01:52Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
RDB: meh...,31485.1,19.56393412,4368,4368,132,433.07088,Ride,2017-04-23T18:52:28Z,FALSE,FALSE,b1395475,7.208,16.12386352,11.9,26.619586,,115.8,,,,18
FTB: gravel with Vibol and Patrick,49567.2,30.79963016,8654,10309,156.2,512.467208,Ride,2017-04-22T12:33:51Z,FALSE,FALSE,b2653090,5.728,12.81319232,13.6,30.422384,,177.1,,,,
Anytime Fitness Portage: lifting,0,0,1886,1886,0,0,WeightTraining,2017-04-21T15:56:38Z,FALSE,TRUE,,0,0,0,0,,,,,,
Peloton: still not right,30577.6,19.00003977,3900,3900,0,0,Ride,2017-04-21T12:13:57Z,FALSE,TRUE,b2468160,7.84,17.5376096,0,0,,,,,,
Peloton: allergies suck,24140.2,15.00002485,3000,3000,0,0,Ride,2017-04-20T15:52:39Z,FALSE,TRUE,b2468160,8.047,18.00065618,0,0,,,,,,
MTB: West Bend - first time on Eisenbahn,45242.5,28.11238616,6941,7231,225,738.189,Ride,2017-04-16T17:37:16Z,FALSE,FALSE,b575984,6.518,14.58037492,12.3,27.514362,,205.8,141.1,143,,17
Peloton: back to Peloton,24140.2,15.00002485,3000,3000,0,0,Ride,2017-04-16T12:30:10Z,FALSE,TRUE,b2468160,8.047,18.00065618,0,0,,,,,,
MTB: (a little) gravel road ride with Vibol.,73394.6,45.60529011,11029,12761,483,1584.64572,Ride,2017-04-15T15:31:28Z,FALSE,FALSE,b575984,6.655,14.8868357,15.6,34.896264,,223.4,119.7,160,,24
RDB: final FL ride of the season. ð,47140.2,29.29156228,6240,6409,134,439.63256,Ride,2017-04-13T18:26:43Z,FALSE,FALSE,b1395475,7.555,16.9000817,11.1,24.830034,,115.9,130.9,144,,24
GRB: first Wheel Fast group ride.,59899.5,37.21982373,7217,7572,192,629.92128,Ride,2017-04-12T22:20:34Z,FALSE,FALSE,b1477130,8.3,18.566602,14.1,31.540854,85.6,160.5,150.3,175,809,14
LAFS: maybe I'll recover tomorrow,27358.9,17.00003231,3600,3600,0,0,Ride,2017-04-11T23:08:48Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
LAFS: Monday spin = no rain.,27358.9,17.00003231,3600,3600,0,0,Ride,2017-04-10T23:28:21Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
GRB: hair of the dog w/SPI Bike Club.,97956,60.86703651,14230,15409,308,1010.49872,Ride,2017-04-09T13:34:47Z,FALSE,FALSE,b1477130,6.884,15.39909496,17.1,38.251674,82.9,141.7,124,160,914,14
GRB: Rough Road 100k,99648.1,61.9184587,12492,12906,714,2342.51976,Ride,2017-04-08T12:59:44Z,FALSE,FALSE,b1477130,7.977,17.84407038,16.6,37.133204,85.3,203.5,156.9,179,800,7
GRB: pre RR 100 spin.,29417,18.27887636,4091,4213,61,200.13124,Ride,2017-04-08T00:12:08Z,FALSE,FALSE,b1477130,7.191,16.08583554,11,24.60634,87.7,161.7,,,647,4
LAFS: spin!,33796.3,21.00004722,4500,4500,0,0,Ride,2017-04-06T22:25:03Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
LAFS: Phlegm ride,37015,23.00005468,4800,4800,0,0,Ride,2017-04-05T11:25:30Z,FALSE,TRUE,b534975,7.711,17.24904434,0,0,,,,,,
RDB: trying to clear my lungs.,33979.1,21.11363388,4470,4528,114,374.01576,Ride,2017-04-04T18:02:14Z,FALSE,FALSE,b1477130,7.602,17.00521788,13.2,29.527608,89.6,196.8,153.8,170,831,12
RDB: easy allergy ride to hit 100 for the week.,27454.5,17.0594354,3615,3717,78,255.90552,Ride,2017-04-02T20:03:37Z,FALSE,FALSE,b1395475,7.595,16.9895593,10.8,24.158952,,124.3,,,,21
RDB: Saturday spin.,50662.1,31.47996948,6232,6556,95,311.6798,Ride,2017-04-01T11:04:05Z,FALSE,FALSE,b1395475,8.129,18.18408526,10.9,24.382646,,139.4,127.6,132,,14
RDB: forgot to start GPS - first half.,13679.5,8.500047224,1595,1595,0,0,Ride,2017-03-31T11:04:39Z,FALSE,TRUE,b1395475,8.576,19.18399744,0,0,,,,,,
RDB: second half of rain ride.,19152.6,11.9008739,2249,2364,13,42.65092,Ride,2017-03-31T10:14:53Z,FALSE,FALSE,b1395475,8.516,19.04978104,10.4,23.264176,,147.7,160.8,169,,15
LAFS: first swim in a while,900,0.559234073,909,909,0,0,Swim,2017-03-30T01:36:53Z,FALSE,TRUE,,0.99,2.2145706,0,0,,,,,,
LAFS: sauna spin,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-29T11:36:00Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
GRB: night rider,29336.4,18.22879384,3889,3905,66,216.53544,Ride,2017-03-28T03:09:38Z,FALSE,FALSE,b1477130,7.543,16.87323842,11.4,25.501116,91.4,187.3,133.6,149,529,5
GRB: easy Spfld spin,41301.8,25.66374871,5635,5635,93,305.11812,Ride,2017-03-26T22:14:46Z,FALSE,FALSE,b1477130,7.33,16.3967702,11,24.60634,91.9,167.5,134,145,457,7
MTB: quick spin in the BMC with the 110mm stem.,11637.4,7.231145113,1528,1528,81,265.74804,Ride,2017-03-25T22:44:57Z,FALSE,FALSE,b575984,7.616,17.03653504,11.1,24.830034,,288.6,,,,3
"Peloton: won't ride in rain, wind, and 38 degrees. ",27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-25T14:07:07Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
GRB: awesome ride with Gary & Co,63538.1,39.48074495,8384,10350,387,1269.68508,Ride,2017-03-24T16:43:48Z,FALSE,FALSE,b1477130,7.578,16.95153132,14.4,32.211936,84.8,144.9,146.6,203,813,20
Peloton: chill spin.,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-24T11:13:49Z,FALSE,TRUE,b2468160,7.6,17.000744,0,0,,,,,,
LAFS: solo spin,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-23T12:03:19Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
GRB: Kittel sprint set,28788.4,17.88828243,3900,4045,91,298.55644,Ride,2017-03-22T22:55:05Z,FALSE,FALSE,b1477130,7.382,16.51309108,12.5,27.96175,81.9,199.6,156.1,171,927,3
HIWB: warm down spin.,13679.5,8.500047224,1800,1800,0,0,Ride,2017-03-20T13:46:29Z,FALSE,TRUE,b521467,7.6,17.000744,0,0,,,,,,
HIWB: weights,0,0,2195,2195,0,0,WeightTraining,2017-03-20T13:26:22Z,FALSE,TRUE,,0,0,0,0,,,,,,
HIWB: warm up spin.,13679.5,8.500047224,1800,1800,0,0,Ride,2017-03-20T13:07:29Z,FALSE,TRUE,b521467,7.6,17.000744,0,0,,,,,,
RDB: Crue! Crue!,64454.1,40.04992096,8590,9592,160,524.9344,Ride,2017-03-18T12:12:59Z,FALSE,FALSE,b1395475,7.503,16.78376082,12.4,27.738056,,120.5,128.2,132,,10
"RDB: hard out, tired back.",32417.2,20.14311421,4149,4365,111,364.17324,Ride,2017-03-17T16:40:16Z,FALSE,FALSE,b1395475,7.813,17.47721222,10.8,24.158952,,136,104.8,107,,16
LAFS: more intervals ,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-16T11:30:27Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
LAFS: quick lift,0,0,1283,1283,0,0,WeightTraining,2017-03-16T10:05:16Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFS: some sets,33796.3,21.00004722,4500,4500,0,0,Ride,2017-03-15T23:00:25Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
RDB: Suncoast Sunday. Didn't think I had that in me.,94792,58.90101805,11490,13326,325,1066.273,Ride,2017-03-12T12:05:27Z,FALSE,FALSE,b1395475,8.25,18.454755,14,31.31716,,155.5,138.9,173,,15
RDB: 40 with Jill.,65396.2,40.63531476,13379,14555,246,807.08664,Ride,2017-03-11T19:02:59Z,FALSE,FALSE,b1395475,4.888,10.93416272,11.4,25.501116,,56,,,,22
RDB: south on the Pinellas,59768.9,37.13867265,7179,7252,220,721.7848,Ride,2017-03-10T21:08:50Z,FALSE,FALSE,b1395475,8.326,18.62476244,12,26.84328,,152.2,155.6,173,,18
LAFS: hard intervals in spin,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-09T23:30:44Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
GRB: easy cruise,28964.2,17.99751949,4148,4184,67,219.81628,Ride,2017-03-09T01:26:55Z,FALSE,FALSE,b1477130,6.983,15.62055202,9.6,21.474624,84,145.2,124.4,142,442,3
GRB: oh em gee. WEEEEE!!!,48485.5,30.12749294,6774,6809,153,501.96852,Ride,2017-03-07T21:50:58Z,FALSE,FALSE,b1477130,7.158,16.01201652,14.6,32.659324,84.7,200.5,154.7,171,786,6
RDB: Suncoast + Minnesota,90485.8,56.22526943,11753,13670,319,1046.58796,Ride,2017-03-05T12:44:55Z,FALSE,FALSE,b1395475,7.699,17.22220106,15.1,33.777794,,139.2,118.7,137,,16
RDB: not bad for an off day.,85893.5,53.3717465,11353,12591,252,826.77168,Ride,2017-03-04T11:56:59Z,FALSE,FALSE,b1395475,7.566,16.92468804,14.6,32.659324,,123.6,95,96,,9
LAFS: more spin. Need me some Florida.,27358.9,17.00003231,3600,3600,0,0,Ride,2017-03-03T12:21:34Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
LAFS: max #?,0,0,2466,2466,0,0,WeightTraining,2017-03-02T23:53:55Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFS: spin-o-rama ,54717.8,34.00006462,7200,7200,0,0,Ride,2017-03-02T22:35:53Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
LAFS: warm up,500,0.310685596,162,162,0,0,Rowing,2017-03-02T21:16:57Z,FALSE,TRUE,,3.086,6.90319684,0,0,,,,,,
GRB: 25 miles and MPH (winds).,40420.7,25.11625855,5824,5962,110,360.8924,Ride,2017-03-01T21:41:43Z,FALSE,FALSE,b1477130,6.94,15.5243636,11.6,25.948504,85.4,181.1,142.4,160,710,2
LAFS: pretty tough spin,29772.9,18.50002237,3900,3900,0,0,Ride,2017-03-01T00:43:13Z,FALSE,TRUE,b534975,7.634,17.07679996,0,0,,,,,,
USF: stress test,1931.2,1.199992046,750,750,0,0,Run,2017-02-27T14:47:38Z,FALSE,TRUE,g1514293,2.575,5.7601205,0,0,,,,,,
RDB: bridge repeats,30899.7,19.20018343,4493,4493,394,1292.65096,Ride,2017-02-26T14:35:21Z,FALSE,FALSE,b1395475,6.877,15.38343638,13,29.08022,,146.4,,,,14
RDB: cruisin' with Jill,36050.2,22.40055575,6907,8095,97,318.24148,Ride,2017-02-25T18:00:23Z,FALSE,FALSE,b1395475,5.219,11.67458986,10,22.3694,,58.6,,,,22
RDB: Suncoast++,115034,71.47881373,14411,16244,191,626.64044,Ride,2017-02-25T12:01:50Z,FALSE,FALSE,b1395475,7.982,17.85525508,13.5,30.19869,,137.4,,,,18
RDB: easy in the sun,52107.8,32.37828581,6701,7070,104,341.20736,Ride,2017-02-24T16:43:32Z,FALSE,FALSE,b1395475,7.776,17.39444544,10.2,22.816788,,125.9,,,,22
LAFS: Max #whatever,0,0,2143,2143,0,0,WeightTraining,2017-02-23T18:16:30Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFS: sweet spots 15 x 2.,33796.3,21.00004722,4500,4500,0,0,Ride,2017-02-23T17:07:32Z,FALSE,TRUE,b534975,7.51,16.7994194,0,0,,,,,,
LAFS: warm up,500,0.310685596,158,158,0,0,Rowing,2017-02-23T16:34:49Z,FALSE,TRUE,,3.165,7.0799151,0,0,,,,,,
"LAFS: my bike gave up, had to spin.",27358.9,17.00003231,3600,3600,0,0,Ride,2017-02-21T23:56:46Z,FALSE,TRUE,b534975,7.6,17.000744,0,0,,,,,,
GRB: Kal Haven Hell,48490.7,30.13072407,6406,6569,66,216.53544,Ride,2017-02-20T16:53:14Z,FALSE,FALSE,b1477130,7.57,16.9336358,13.9,31.093466,88.8,221.6,162.4,173,563,10
GRB: Kal Haven,36371.4,22.60014018,6758,7035,114,374.01576,Ride,2017-02-19T15:03:22Z,FALSE,FALSE,b1477130,5.382,12.03921108,16.3,36.462122,79.4,136,121.4,146,413,5
GRB: Roubaix with Vibol,35332,21.95428696,6287,6421,478,1568.24152,Ride,2017-02-18T15:30:26Z,FALSE,FALSE,b1477130,5.62,12.5716028,13.7,30.646078,73,153,,,662,8
GRB: GRAVEL!,41945.4,26.06366321,5526,5733,97,318.24148,Ride,2017-02-17T20:24:31Z,FALSE,FALSE,b1477130,7.591,16.98061154,12,26.84328,84.9,145.6,154,180,551,12
PFP: sort of max-ish,0,0,2132,2132,0,0,WeightTraining,2017-02-17T02:53:36Z,FALSE,TRUE,,0,0,0,0,,,,,,
PFP: warm up,4023.4,2.500024855,600,600,0,0,Ride,2017-02-17T02:33:26Z,FALSE,TRUE,b521467,6.706,15.00091964,0,0,,,,,,
RDB: St Pete Classic!,167840,104.2909409,20459,23623,343,1125.32812,Ride,2017-02-12T12:06:04Z,FALSE,FALSE,b1395475,8.204,18.35185576,11.2,25.053728,,141.5,128.1,158,,17
RDB: Suncoast Crue - short route,64526.8,40.09509465,8357,9606,98,321.52232,Ride,2017-02-11T13:08:57Z,FALSE,FALSE,b1395475,7.721,17.27141374,14.4,32.211936,,129.3,135.9,182,,14
LAFS: long warm up + 5 x 5s @ 300W.,38624.3,24.00002734,5100,5100,0,0,Ride,2017-02-10T00:58:00Z,FALSE,TRUE,b534975,7.573,16.94034662,0,0,,,,,,
Evening Run,210.7,0.13092291,3295,3295,0,0,Run,2017-02-09T23:30:00Z,TRUE,FALSE,g1514293,0.064,0.14316416,0.6,1.342164,59,,146.9,176,,
Afternoon Run,91.9,0.057104013,1807,1807,0,0,Run,2017-02-09T22:55:46Z,TRUE,FALSE,g1514293,0.051,0.11408394,0.5,1.11847,59,,116.1,130,,
LAFS: some 200s,1609.4,1.000034797,1620,1620,0,0,Swim,2017-02-09T04:34:05Z,FALSE,TRUE,,0.993,2.22128142,0,0,,,,,,
"LAFS: meditation spin. No, really.",22530.9,14.0000522,3600,3600,0,0,Ride,2017-02-07T23:52:47Z,FALSE,TRUE,b534975,6.259,14.00100746,0,0,,,,,,
LAFS: Max #7,0,0,1951,1951,0,0,WeightTraining,2017-02-07T22:15:17Z,FALSE,TRUE,,0,0,0,0,,,,,,
LAFS: warm up,500,0.310685596,158,158,0,0,Rowing,2017-02-07T22:11:17Z,FALSE,TRUE,,3.165,7.0799151,0,0,,,,,,
GRB: easy (sort of) quickie,19682,12.22982781,2620,2620,35,114.8294,Ride,2017-02-07T10:37:31Z,FALSE,FALSE,b1477130,7.512,16.80389328,13.6,30.422384,76.7,203.8,148.4,166,626,8
LAFS: new Keiser 20:00 LTP,30577.6,19.00003977,3900,3900,0,0,Ride,2017-02-06T23:49:35Z,FALSE,TRUE,b534975,7.84,17.5376096,0,0,,,,,,
Evening Run,14.3,0.008885608,606,606,0,0,Run,2017-02-06T23:42:58Z,TRUE,FALSE,g1514293,0.024,0.05368656,0,0,,,177.2,178,,
CRB: Home from Nauti Nancy's.,4896.4,3.042481906,1036,1078,0,0,Ride,2017-02-05T18:59:23Z,FALSE,FALSE,b3365885,4.726,10.57177844,7.1,15.882274,,103.7,,,,
CRB: to Nauti Nancy's,4840.2,3.007560845,1103,1103,0,0,Ride,2017-02-05T16:36:56Z,FALSE,FALSE,b3365885,4.388,9.81569272,5.9,13.197946,,92.2,,,,
RDB: Damn good times....,113889,70.76734371,14885,16482,419,1374.67196,Ride,2017-02-04T11:49:23Z,FALSE,FALSE,b1395475,7.651,17.11482794,13.5,30.19869,,135.6,144.4,164,,13
LAFD: Max #6 - back to max,0,0,2460,2460,0,0,WeightTraining,2017-02-03T16:40:27Z,FALSE,TRUE,,0,0,0,0,,,,,,
